ID,VendorID,CartrigeTypeID,Name,NameLocal,PartNumber,Resourse,ItemsInPack,CartrigeColorID,Added,Updated,Description,MaxWriteOffSpeed,AvgWriteOffSpeed,UserUpdated,LastWriteOffDate,LastWriteOffQuantity,SumQuantity,GoodsNumber,LocalName,ReportName,ShowInNeedToBuy,Barcode,Hidden
69,5,1,"Stylus Photo 1200, 700, 750",,C13T050142,740,2,2,01-ноя-05,02-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T050142,Картридж черный Epson: C13T050142,ЛОЖЬ,,ЛОЖЬ
70,5,1,Stylus Photo 950,,C13T033640,440,1,9,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж светло-пурпурный Epson: C13T033640,Картридж светло-пурпурный Epson: C13T033640,ЛОЖЬ,,ЛОЖЬ
71,5,1,Stylus Photo 950,,C13T033340,440,1,4,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж пурпурный Epson: C13T033340,Картридж пурпурный Epson: C13T033340,ЛОЖЬ,,ЛОЖЬ
72,5,1,Stylus Photo 950,,C13T033540,440,1,8,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж светло-голубой Epson: C13T033540,Картридж светло-голубой Epson: C13T033540,ЛОЖЬ,,ЛОЖЬ
73,5,1,Stylus Photo 950,,C13T033440,440,1,5,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж желтый Epson: C13T033440,Картридж желтый Epson: C13T033440,ЛОЖЬ,,ЛОЖЬ
74,5,1,Stylus Photo 950,,C13T033140,440,1,2,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T033140,Картридж черный Epson: C13T033140,ЛОЖЬ,,ЛОЖЬ
75,5,1,Stylus Photo 950,,C13T033240,440,1,3,15-дек-05,07-июл-11,,0,0,,30-дек-99,0,0,,Картридж голубой Epson: C13T033240,Картридж голубой Epson: C13T033240,ЛОЖЬ,,ЛОЖЬ
76,5,1,"Stylus Photo R1800, R800",,C13T054040,400,1,12,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж глянец Epson: C13T054040,Картридж глянец Epson: C13T054040,ЛОЖЬ,,ЛОЖЬ
77,5,1,"Stylus Photo R1800, R800",,C13T054240,400,1,3,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж голубой Epson: C13T054240,Картридж голубой Epson: C13T054240,ЛОЖЬ,,ЛОЖЬ
78,5,1,"Stylus Photo R1800, R800",,C13T054440,400,1,5,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж желтый Epson: C13T054440,Картридж желтый Epson: C13T054440,ЛОЖЬ,,ЛОЖЬ
79,5,1,"Stylus Photo R1800, R800",,C13T054740,400,1,11,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж красный Epson: C13T054740,Картридж красный Epson: C13T054740,ЛОЖЬ,,ЛОЖЬ
80,5,1,"Stylus Photo R1800, R800",,C13T054840,400,1,6,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный матовый Epson: C13T054840,Картридж черный матовый Epson: C13T054840,ЛОЖЬ,,ЛОЖЬ
81,5,1,"Stylus Photo R1800, R800",,C13T054340,400,1,4,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж пурпурный Epson: C13T054340,Картридж пурпурный Epson: C13T054340,ЛОЖЬ,,ЛОЖЬ
82,5,1,"Stylus Photo R1800, R800",,C13T054940,400,1,10,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж синий Epson: C13T054940,Картридж синий Epson: C13T054940,ЛОЖЬ,,ЛОЖЬ
83,5,1,"Stylus Photo R1800, R800",,C13T054140,400,1,2,22-дек-05,06-июл-11,,0,0,,30-дек-99,0,0,,Картридж черный Epson: C13T054140,Картридж черный Epson: C13T054140,ЛОЖЬ,,ЛОЖЬ
84,8,2,"Aficio 1015, 1018, 1018D, 1113",,888087,9000,1,2,19-дек-05,06-июл-11,Type 1220D,0,0,,30-дек-99,0,0,,Тонер черный Ricoh: 888087,Тонер черный Ricoh: 888087,ЛОЖЬ,,ЛОЖЬ
85,1,1,"LBP 1210, LaserJet 1000W, 1005W, 1200, 1200N, 1220, 3300mfp, 3310mfp, 3320mfp, 3320n, 3330mfp, 3380",,C7115A,2500,1,2,22-ноя-05,20-июн-11,,0,0,,30-дек-99,0,0,,Картридж черный HP: C7115A,Картридж черный HP: C7115A,ЛОЖЬ,,ЛОЖЬ
